sample,ContaminationSummary,sampleName,rRNABlast
ID0895a850-e6db-48d1-989e-327ce5e3beb1,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID0895a850-e6db-48d1-989e-327ce5e3beb1/ContaminationSummary.json.gz,sample_10,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID0895a850-e6db-48d1-989e-327ce5e3beb1/rRNABlast.json.gz
ID0ffd663d-cbb1-404b-a1d1-001f65c4bd40,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID0ffd663d-cbb1-404b-a1d1-001f65c4bd40/ContaminationSummary.json.gz,sample_03,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID0ffd663d-cbb1-404b-a1d1-001f65c4bd40/rRNABlast.json.gz
ID5161237a-c3b7-4ada-abad-2802541375a7,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID5161237a-c3b7-4ada-abad-2802541375a7/ContaminationSummary.json.gz,sample_01,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID5161237a-c3b7-4ada-abad-2802541375a7/rRNABlast.json.gz
ID553a648c-db64-4734-a7db-a3f5f697c5f4,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID553a648c-db64-4734-a7db-a3f5f697c5f4/ContaminationSummary.json.gz,sample_07,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID553a648c-db64-4734-a7db-a3f5f697c5f4/rRNABlast.json.gz
ID79cc5d62-cadc-4c0b-b03e-40f28b686f32,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID79cc5d62-cadc-4c0b-b03e-40f28b686f32/ContaminationSummary.json.gz,sample_08,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID79cc5d62-cadc-4c0b-b03e-40f28b686f32/rRNABlast.json.gz
ID7af534fc-9f7c-4991-a6ee-35fb4759a23d,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID7af534fc-9f7c-4991-a6ee-35fb4759a23d/ContaminationSummary.json.gz,sample_04,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID7af534fc-9f7c-4991-a6ee-35fb4759a23d/rRNABlast.json.gz
ID8e38fe8e-5e4f-4491-80ee-15fc169c7b71,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID8e38fe8e-5e4f-4491-80ee-15fc169c7b71/ContaminationSummary.json.gz,sample_05,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/ID8e38fe8e-5e4f-4491-80ee-15fc169c7b71/rRNABlast.json.gz
IDcc4801c4-f84d-4105-89b1-8ddbb07f3902,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/IDcc4801c4-f84d-4105-89b1-8ddbb07f3902/ContaminationSummary.json.gz,sample_09,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/IDcc4801c4-f84d-4105-89b1-8ddbb07f3902/rRNABlast.json.gz
IDece009da-fed3-4276-8c32-5d35ec04d2a9,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/IDece009da-fed3-4276-8c32-5d35ec04d2a9/ContaminationSummary.json.gz,sample_06,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/IDece009da-fed3-4276-8c32-5d35ec04d2a9/rRNABlast.json.gz
IDfb32ff84-6a0d-4c4d-ab2b-aff942cb21f4,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/IDfb32ff84-6a0d-4c4d-ab2b-aff942cb21f4/ContaminationSummary.json.gz,sample_02,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/IDfb32ff84-6a0d-4c4d-ab2b-aff942cb21f4/rRNABlast.json.gz
